COUNTRY,Country,SPECIES,Species,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,32269,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,32234,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,32303,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,31063,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,33023,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,27385,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,25744,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,29326,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,28390,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,27169,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,27964,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,30382,,
CAN,Canada,SPECIES_TOTAL,ALL SPECIES - GRAND TOTAL,TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,29162,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,19762,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,21913,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,19126,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,18881,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,20586,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,18101,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,16348,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,19157,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,18398,,
CAN,Canada,1,Freshwater fishes,TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,17896,,
