COUNTRY,Country,FLEET,Fleet,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,590,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,477,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,374,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,332,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,332,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,318,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,325,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,318,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,306,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,309,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,298,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,290,,
AUS,Australia,FTOT,Total vessels,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,315,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,63555,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,53458,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,48828,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,31932,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,36365,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2011,2011,TONNE,Tonnes,0,Units,,,34931,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2012,2012,TONNE,Tonnes,0,Units,,,35360,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2013,2013,TONNE,Tonnes,0,Units,,,35713,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2014,2014,TONNE,Tonnes,0,Units,,,40741,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2015,2015,TONNE,Tonnes,0,Units,,,53948,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2016,2016,TONNE,Tonnes,0,Units,,,64623,,
AUS,Australia,FTOT,Total vessels,GT,Gross tonnage,2017,2017,TONNE,Tonnes,0,Units,,,40648,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2005,2005,NBR,Number,0,Units,,,590,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2006,2006,NBR,Number,0,Units,,,477,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2007,2007,NBR,Number,0,Units,,,374,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2008,2008,NBR,Number,0,Units,,,332,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2009,2009,NBR,Number,0,Units,,,332,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2010,2010,NBR,Number,0,Units,,,318,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2011,2011,NBR,Number,0,Units,,,325,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2012,2012,NBR,Number,0,Units,,,318,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2013,2013,NBR,Number,0,Units,,,306,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2014,2014,NBR,Number,0,Units,,,309,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2015,2015,NBR,Number,0,Units,,,298,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2016,2016,NBR,Number,0,Units,,,290,,
AUS,Australia,FWET,Vessels with engine,NU,Number of vessels,2017,2017,NBR,Number,0,Units,,,315,,
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2006,2006,TONNE,Tonnes,0,Units,,,63555,,
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2007,2007,TONNE,Tonnes,0,Units,,,53458,,
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2008,2008,TONNE,Tonnes,0,Units,,,48828,,
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2009,2009,TONNE,Tonnes,0,Units,,,31932,,
AUS,Australia,FWET,Vessels with engine,GT,Gross tonnage,2010,2010,TONNE,Tonnes,0,Units,,,36365,,
